"NAME","","N.","PREP.","TYPES","PROPERTIES","","","","","","","","","","","","","","CONTAINED ITEMS","","","","","","","","","","","","","","","","","","","","","","","","",""
"north","","s
d","to","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"north east","","s
d","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"east","","s
d","to","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"south east","","s
d","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"south","","s
d","to","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"south west","","s
d","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"west","","s
d","to","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"north west","","s
d","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"front
forward
ahead","","s
d","on","","","$ go / move / go back
move(relative, 0)","$ look
orient(0)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"right","","s
d","on","","","$ go / move / go back
move(relative, 2)","$ look
orient(2)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"back
backwards
behind","","s
d","on","","","$ go / move / go back
move(relative, 4)","$ look
orient(4)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"left","","s
d","on","","","$ go / move / go back
move(relative, 6)","$ look
orient(6)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"inventory
bag","","s
d","in","","weight

value:0","contents","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"around","","s","","","universal","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"floor","","s","on","","universal","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"hole","","s","in","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
